platform,rating,title,text,date
playstore,5,,good 👍,2026-09-19
playstore,5,,convenient.. really like it,2026-09-19
playstore,1,,"pathetic experience. Setting up the account is so bad. It fetched my name from PAN details and auto-filled my father's name instead of my name. But I was not able to correct it. when I raised this query with customer support both through voice and chat, automated answers only thrown which didn't solve my problem. my account is still in my father's name. Pathetic.",2026-09-19
playstore,5,,osm,2026-09-19
playstore,4,,"Need to provide ""last added"" feature to my stock portfolio also, just like ""sort by"" in watchlist",2026-09-19
playstore,5,,very good,2026-09-19
playstore,1,,yeh jitne sare broker app hai na sale milkar hum logo ko bhikari bana dega government ko band karna hoga yeh sab app ko nhi toh mentally frustrated ho jaoge government ko action lena hoga,2026-09-19
playstore,5,,nice,2026-09-19
playstore,5,,very good 👍🏻,2026-09-19
playstore,5,,My trust on grow,2026-09-19
playstore,5,,on the future,2026-09-19
playstore,5,,👍,2026-09-19
playstore,5,,best,2026-09-19
playstore,5,,good,2026-09-19
playstore,5,,Good Job 👍🏻,2026-09-19
playstore,5,,positive Life,2026-09-19
playstore,5,,This App is Really Very Good!! UI is So Easy!!!,2026-09-19
playstore,5,,good,2026-09-19
playstore,5,,good,2026-09-19
playstore,1,,nowadays you guys seems like fraud Beaware guys specially if you are pledging your stocks they suddenly change haircut on a particular stock Even if your pledged stocks are doing great you can be in deep financial trouble if you are doing mtf using pledged balance,2026-09-19
playstore,5,,best trading app,2026-09-19
playstore,3,,update to volume candle in function in treding view application .,2026-09-19
playstore,5,,super,2026-09-19
playstore,4,,"it's èasy ,user friendly and it's charges are costly.",2026-09-19
playstore,5,,Indus very nice,2026-09-19
playstore,1,,Don't Install ever. Fake Promise.I can't withdraw my money from my wallet and other than how I can say it deserves in mobile space.,2026-09-19
playstore,5,,very good,2026-09-19
playstore,3,,nice 👍,2026-09-19
playstore,5,,good,2026-09-19
playstore,5,,good 👍,2026-09-19
playstore,5,,very good app. A user friendly app. I like the app very much. One more things should be inducted in the app which is OPEN INTEREST AND CHANGE IN OPEN INTEREST BAR should be available for option trading.,2026-09-19
playstore,5,,awasome app,2026-09-19
playstore,1,,"updated 19sep26 latest experience. Incorrect external fund Investment values & useless support ​Groww's external fund import is broken. It defaults to displaying the date-of-import value as invested amount, ruining portfolio accuracy. CAS statements show correct data, yet Groww fails to parse it. Support tickets are closed with canned, automated replies without resolving the issue. Basic portfolio filtering and sorting tools are missing. Importing funds is useless if invested values are wrong.",2026-09-19
playstore,4,,sometimes it lag,2026-09-19
playstore,5,,nice app,2026-09-19
playstore,5,,very good,2026-09-19
playstore,5,,good 👍,2026-09-19
playstore,5,,world class...... amazing,2026-09-19
